METROPOLITAN_CITY,STATE,COUNTRY,MEETUP_GROUP_MEMBERS_URL
Chicago,IL,US,site:https://www.meetup.com/BlackByte/members/
Chicago,IL,US,site:https://www.meetup.com/MsTech/members/
Chicago,IL,US,site:https://www.meetup.com/Lesbians-Who-Tech-Chicago/members/
Chicago,IL,US,site:https://www.meetup.com/Girls-In-Tech-Chicago/members/
Chicago,IL,US,site:https://www.meetup.com/queer-tech-club/members/
Chicago,IL,US,site:https://www.meetup.com/WomanDevelopers/members/
Portland,OR,US,site:https://www.meetup.com/ChickTech-Portland/
Portland,OR,US,site:https://www.meetup.com/Girl-Develop-It-Portland/
Portland,OR,US,site:https://www.meetup.com/PDX-People-of-Color-in-Tech/
Portland,OR,US,site:https://www.meetup.com/Portland-Women-in-Technology/
Portland,OR,US,site:https://www.meetup.com/PyLadies-PDX/
Portland,OR,US,site:https://www.meetup.com/STEM-ladies-health-fitness-and-adventures/
Portland,OR,US,site:https://www.meetup.com/Veterans-in-Technology/
Portland,OR,US,site:https://www.meetup.com/Veterans-in-Technology/
Portland,OR,US,site:https://www.meetup.com/Women-Who-Code-Portland/
Dallas,TX,US,site:https://www.meetup.com/WATT-Women-Advancing-Technology-Together-Dallas/members/
Kansas_City,MO,US,site:https://www.meetup.com/KC-Next-Role-Models-in-Tech/members/
Minneapolis,MN,US,site:https://www.meetup.com/Graveti/members/
New_York,NY,US,site:https://www.meetup.com/Tech-Yes-Diversity-in-Tech-Meetup/members/
New_York,NY,US,site:https://www.meetup.com/OpenTechSchool-New-York/members/
New_York,NY,US,site:https://www.meetup.com/Women-in-Tech-New-York/members/
New_York,NY,US,site:https://www.meetup.com/LI-Women-in-Tech/members/
New_York,NY,US,site:https://www.meetup.com/WomenInTechNJ-NY/members/
New_York,NY,US,site:https://www.meetup.com/NYCGeekettes/members/
New_York,NY,US,site:https://www.meetup.com/queens-tech/members/
New_York,NY,US,site:https://www.meetup.com/Women-in-Technology-International-WITI-New-York-City/members/
New_York,NY,US,site:https://www.meetup.com/nywomentech/members/
